,0,1,2
0,اتفق معاكي جدا لكن الناس دي اكتر حد بتعرف ان ربنا موجود وان واجب وإكرام الميت دفنه دي انانيه منهم دي بنت بلدهم هي ل… https://t.co/K1Auw28YdL,DIAL_EGY,0.98602825
1,مش روشنه هي لما تبقي في مكان مزدحم بالناس وتروح لابس كمامه او تنزل بيها الشارع 😑,DIAL_EGY,0.9939904
2,لمؤاخذه يعني هي الكورونا بتنتشر بعد ٧ بليل و لحد ٦ الصبح بس ؟ شغاله نايت شفت يعني ولا ايه؟ ايه القرار المهزق ده؟,DIAL_EGY,0.9928952
3,عزيزي الكورونا أنت مش قدنا بلاش تيجي علشان هتتفاجئ😂😂 https://t.co/JWKXIgS6Co,DIAL_EGY,0.9943159
4,RT @itsAhmedEtman: الحكومة قررت تشيل ايديها من حوار كورونا ده,DIAL_EGY,0.9836469
5,اخبار الكورونا ديه تعبتلي اعصابي والله ومش عايز اعرف عن ام ده فيروس حاجة والله 🤦🏻‍♂️🤦🏻‍♂️,DIAL_EGY,0.9849472
6,التباعد الاجتماعي صعب على المصريين حتى على المثقفين منهم ، محدش بيلتزم بحاجة https://t.co/vA8Lm4oE6i,DIAL_EGY,0.96707433
7,بدل ما تلاقي حد يقولك خد بالك من نفسك يقولك انتو السبب ومتجوش اي مكان وباسلوب وسخ زيه ياريت يا جماعة نحترم نفسنا ون… https://t.co/yqKwBEfkPY,DIAL_EGY,0.9945357
8,جيشنا. الغالى بيوزع على شعبه اللى بيحبه كمامات راقيه للغايه ..  كل الشكر والاحترام له .. بس انا فى البيت ما أخدتش .… https://t.co/0UVF0s5KXu,DIAL_EGY,0.97833633
9,"@Al71255597 ياجدعان انا عايز اتواصل مع دكتور بسرعه ارجو المساعده
انا عندي برد وبجد صعوبه في التنفس وسعال شديد وبحس… https://t.co/ujTcMsRLmk",DIAL_EGY,0.93000644
10,طب تماام احنا لسة مطولين 😴 https://t.co/rZ2bSi9Uvz,DIAL_EGY,0.9694064
11,"دلوقتي سؤال واضح وصريح 
حالات الكورونا اللي ظهرت في دمياط دي بجد ولا هزار علشان الموضوع بقا فيه قلق والله https://t.co/t5axW8YID4",DIAL_EGY,0.991355
12,الكورونا خشت مصر انا مش حنتريح لين تخش من تونس عشان تحوزنا في النص وتلعب فينا كلنا عشان ليبيا واحده,DIAL_EGY,0.94472253
13,"@tamerbadawy76 طب اخبار يوسف الشريف الي لسه حضرتك مباركله على تريلر مسلسله الي بيشتغل وفي كورونا وهو مش محتاج 
مش م… https://t.co/v7odpFarp9",DIAL_EGY,0.97763306
14,"#نازلين_بعد_الماتش فعلو الهاشتاج دا 
#فيروس_كورونا 
#الشعب_يريد_إسقاط_النظام",DIAL_EGY,0.9875168
15,"@_AAriny @TrueXela 
يا ابن الوسخة دمكم يلطش.. مستحيل الإخوان يكونوا مصريين، لأن المصريين مش بالوساخة دي أبدا.. الكو… https://t.co/W8DC1vqp7H",DIAL_EGY,0.98587507
16,@bmtdW0eho6Yh8lV هو حظر التجول ده مش ناوى يخلص ولا اى😂😂,DIAL_EGY,0.9955978
