,0,1,2
0,@NourOusama سوف تسجل أول حالة كورونا في خربة سلم بعد تصريح أوسامة بإعجابه بالظيعة😂😂😂,MSA,0.92359895
1,"نسب وفيات كورونا اليوم ١٥-٣-٢٠٢٠ :
الصين  ٣.٩ %
ايطاليا  ٦.٨ %
ايران  ٥.٢ %
كوريا الجنوبية ٠.٩ %
اسبانيا  ٣.٧٥ %
ال… https://t.co/sWsr4O9jCv",MSA,0.90681773
2,"#قاطعوا_المنتوجات_السعودية

أول دولة في العالم ظهر بها فايروس كورونا هي السعودية عامي٢٠١٢ -  ٢٠١٤ وقتل اكثر من ٢٥٠… https://t.co/d3qd9PrnBm",MSA,0.9566157
3,@TurkiHAlhamad1 تشير الى حديث وزير الصحة عن امر الملك بالعلاج مجانا. ألم يكن من الاجدر أن لا يعرض المشهد وأنت تدخن… https://t.co/Qu73bIWQi2,MSA,0.9909814
4,"RT @M_OH_Y: تعليمات العزل المنزلي الفعّال لحمايتك وحماية الآخرين. فضلاً وليس امراً انشر فحماية المجتمع من فيروس #كورونا مسؤولية مشتركة

 ht…",MSA,0.9894042
5,تركيا تحمل السعودية مسؤولية تفشي كورونا في تركيا.. هذا ما كشفه وزير الداخلية التركي! https://t.co/y4Roc8W38v,MSA,0.9891005
6,"مهما ضاقت عليك الامور ومهما تعسّرت يبقى مصاحباً لهذا العسرِ يسرٌ يمثّل لك الفرج في جميع!
ثق بربّك سبحانه القادر على… https://t.co/lhKazYPigl",MSA,0.9893532
7,"قناة المملكة/ الرئيس الفرنسي: فيروس كورونا هو أسوأ أزمة صحية تواجهها فرنسا منذ قرن #عاجل  - عبر تطبيق نبض @NabdApp
 https://t.co/lMOy0BamwU",MSA,0.9802296
8,@salamhabib1 أهلاً بك ، سيتم الإعلان عن إستئناف آلية تمديد تأشيرة الخروج والعودة بعد انتهاء أزمة جائحة كورونا المست… https://t.co/Yx90tcHvWz,MSA,0.98285484
9,"في جريمة إنسانية أخرى..
 #الامارات تنقل الطلاب اليمنيين الذين اجلتهم من الصين مع جائحة كورنا الى مطار الريان بدون ا… https://t.co/o0WBmhWoAj",MSA,0.9678831
10,"فيروس كورونا يرعب العالم..
هل تنجح #الصين في احتوائه قبل فوات الآن؟

#الشرقية_ميديا https://t.co/z0cFDemhUY",MSA,0.9644051
11,"خريطة لمتابعة حالات الوفاة والإصابة الناتجة عن فيروس كورونا:

هذه خريطة يتم تحديثها مباشرة Live Tracking Map تتابع… https://t.co/PR0P3MU4dP",MSA,0.99074453
12,#منح_التصنيف_للممارسين_الصحيين2 اللهم صل وسلم على محمد  #كورونا #كلنا_مسؤول #السعودية @tfrabiah @SchsOrg,MSA,0.96682936
13,"السيد القائد عبدالملك بدرالدين الحوثي:
الشركات المملوكة للوبي الصهيو ني في #أمريكا التي ترى المصلحة الاقتصادية مبرر… https://t.co/SySYu9kEAK",MSA,0.98689866
14,"@FaisaBlue #تطبيقات أصبحت مجانية دعماً للناس 
في #حضر_التجول 

@Rattibha",MSA,0.97021973
15,"انهيار فندق في داخله 70 شخصا في الصين 
https://t.co/J4WpPwXruG",MSA,0.9544887
16,"رسالة الى وزير الصحه 
يجب اتخاذ الاجرائات القانونيه على كل من يخالف الحجر المنزلي ووضع رقم لمدة ٢٤ ساعه للمواطن للت… https://t.co/uo3LXHH7Bq",MSA,0.9700548
17,"#ﺍﻏﺘﻴﺎﻝ ﺭﺋﻴﺲ ﺍﻟﻔﺮﻳﻖ ﺍﻟﻌﻠﻤﻲ ﺍﻟﺬﻱ ﻳﺠﺮﻱ ﺍﻟﺘﺠﺎﺭﺏ ﺍﻟﻨﻬﺎﺋﻴﺔ ﻋﻠﻰ ﺍﻟﻠﻘﺎﺡ ﺍﻟﺨﺎﺹ ﺑﻔﺎﻳﺮﻭﺱ #ﺍﻟﻜﻮﺭﻭﻧﺎ ﻓﻲ ﺃﻟﻤﺎﻧﻴﺎ
البروفيسور التو… https://t.co/2X5qCRVYUM",MSA,0.95174056
18,"@abnalmerqab هنا يتكلمون بشكل عام لا عن الكورونا
من باب التشجيع علئ التعقيم المستمر لليدين وهو أحد طرق الوقاية من ك… https://t.co/yR0lbZ0GPp",MSA,0.985285
19,@manasaidd يسعدنا تواصلكم مع وزارة الصحة ووقاية المجتمع ونشكر لكم حرصكم وتعاونكم وتفانيكم ،يرجى التسجيل من خلال الر… https://t.co/JQ4jsQ6VoZ,MSA,0.9958662
20,مبيعات الهواتف الذكية تتأثر وتهبط بشكل كبير بسبب فيروس كورونا https://t.co/oxdtd9dA8w https://t.co/2dMVmghLrA,MSA,0.9889164
21,1) وضعت جامعة القاهرة، اليوم الثلاثاء، لوحة باسم الدكتورة سونيا عبد العظيم طبيبة شبرا الهو المنوفية إثر إصابتها بفي… https://t.co/GtCCvzhOQG,MSA,0.93771636
22,"في ظل انتشار الامراض وتفشيها مثل #كورونا 
وغيره من الأمراض حصنوا أنفسكم ومن حولكم 

دعاء عن النبي ﷺ:
اللَّهُمَّ إِ… https://t.co/D5Zb0NHHhU",MSA,0.99317425
23,العودة الى العمل في عز أزمة الكورونا https://t.co/GlhTOx5CIU,MSA,0.98410517
24,إطلاق تطبيق لمنع انتشار فيروس كورونا https://t.co/RcH5Zcs1sl,MSA,0.992203
25,"عااااجل: أول دولة خليجية تصدر بيانًا عاجلًا بشأن فرض حظر التجول بسبب “كورونا“ وتعلن تسجيل عدد إصابات مرعب اليوم ""تف… https://t.co/fIbx32ggDg",MSA,0.91176766
26,"وفاة أول مصاب بكورونا في العراق
#كورونا",MSA,0.95307577
27,رعب شديد من #كورونا في كاليفورنا لدرجة أن مبيعات الملاجئ تحت الأرض ارتفعت خوفاً من الفايروس، هذه الملاجئ تسمى (ملجأ… https://t.co/yi1HNkFnGM,MSA,0.9367934
28,"وأشار الفريق إلى ""الغياب الواضح للإجراءات الاحترازية من فيروس كورونا المستجد"" محذراً من أنه في حال دخول إصابة واحدة… https://t.co/kMbumofTxn",MSA,0.9873685
29,يترأس اليوم الخميس مولاي #خادم_الحرمين_الشريفين الملك سلمان بن عبد العزيز قمة افتراضية استثنائية لـ #مجموعة_العشرين… https://t.co/buORCPRElK,MSA,0.9769142
30,"هذا  فيديو منظمة الصحة العالمية عن الوقاية من #فيروس_كورونا  باللغة العربية 

 من فضلكم شاركوه مع اكثر عدد ممكن للت… https://t.co/bsaKYzUuoi",MSA,0.9819225
31,أصدر مكتب المجلس الشعبي الوطني، امام التطورات التي تعرفها بلادنا جراء انتشار وباء فيروس كورونا ، اليوم 26 مارس 2020… https://t.co/VGZUmglhL2,MSA,0.98461443
32,الحرم المكي أغلق فما هي المدرسه امام اقدس واطهر مشعر من مشاعر الدين الاسلامي هذا ليس هلال رمضان تنتظرون رؤيته هذا و… https://t.co/HGiOgmEzZk,MSA,0.97951907
